# tools/reflection/global_ucas.py 1.0.0 -- root packages of MISERY/Content/Paks/global.ucas
# 394 root packages, 394 of them under /Script/.
# A root package is an entry whose OuterIndex is Null (PackageStoreOptimizer.cpp:987).
# Presence means the cook saw the module. It does NOT mean the shipped game loads it.
package	objects	classes_with_cdo	class_default_objects	members_of_classes	package_members_unclassified
/Script/SlateCore	116	8	8	0	99
/Script/SlateRHIRenderer	13	4	4	3	1
/Script/SlateReflector	3	0	0	0	2
/Script/SoundFields	3	1	1	0	0
/Script/SourceCodeAccess	3	1	1	0	0
/Script/SourceControl	31	2	2	25	1
/Script/SourceControlWindows	7	3	3	0	0
/Script/SparseVolumeTexture	5	2	2	0	0
/Script/SpeedTreeImporter	9	3	3	0	2
/Script/StaticMeshDescription	8	1	1	4	1
/Script/StaticMeshEditor	64	2	2	53	6
/Script/StatsViewer	19	6	6	0	6
/Script/StatusBar	3	1	1	0	0
/Script/SteamCorePro	1520	90	90	859	480
/Script/SteamCoreShared	17	2	2	5	7
/Script/SteamCoreSockets	5	2	2	0	0
/Script/StringTableEditor	3	1	1	0	0
/Script/StructUtils	18	2	2	0	13
/Script/StructUtilsEditor	3	1	1	0	0
/Script/StructUtilsEngine	12	1	1	8	1
/Script/StructUtilsNodes	3	1	1	0	0
/Script/StructUtilsTestSuite	22	4	4	0	13
/Script/SubobjectDataInterface	59	2	2	50	4
/Script/SubobjectEditor	4	1	1	1	0
/Script/SwarmInterface	13	0	0	0	12
/Script/Synthesis	389	38	38	224	88
/Script/SynthesisEditor	9	4	4	0	0
/Script/TakeMovieScene	9	3	3	0	0
/Script/TakeRecorder	74	8	8	38	19
/Script/TakeRecorderSources	30	12	12	4	1
/Script/TakeTrackRecorders	26	11	11	1	2
/Script/TakesCore	57	7	7	38	4
/Script/TcpMessaging	3	1	1	0	0
/Script/TemplateSequence	53	17	17	9	3
/Script/TemplateSequenceEditor	11	5	5	0	0
/Script/TextureUtilitiesCommon	5	1	1	0	2
/Script/TimeManagement	36	6	6	18	5
/Script/ToolMenus	89	10	10	50	18
/Script/ToolPresetAsset	11	4	4	0	2
/Script/ToolPresetEditor	5	2	2	0	0
/Script/ToolWidgets	6	1	1	0	3
/Script/TraceDataFiltering	8	3	3	0	1
/Script/TraceUtilities	16	1	1	13	0
/Script/TranslationEditor	9	3	3	0	2
/Script/TypedElementFramework	118	14	14	30	59
/Script/TypedElementRuntime	65	7	7	44	6
/Script/UMG	1169	131	131	821	80
/Script/UMGEditor	70	22	22	5	18
/Script/UObjectPlugin	4	1	1	0	1
/Script/UVEditor	35	12	12	6	4
/Script/UVEditorTools	144	63	63	5	12
/Script/UVEditorToolsEditorOnly	5	2	2	0	0
/Script/UdpMessaging	5	1	1	0	2
/Script/UndoHistoryEditor	3	1	1	0	0
/Script/UniversalObjectLocator	8	0	0	0	7
/Script/UniversalVoiceChatPro	104	4	4	90	4
/Script/UnrealEd	1349	498	498	171	157
/Script/UnrealEdMessages	3	0	0	0	2
/Script/VREditor	114	23	23	47	6
/Script/VariantManager	55	2	2	48	2
/Script/VariantManagerContent	77	14	14	42	4
/Script/VariantManagerContentEditor	12	5	5	0	1
/Script/VectorVM	3	0	0	0	2
/Script/ViewportInteraction	171	27	27	38	9
/Script/VirtualTexturingEditor	9	4	4	0	0
/Script/Virtualization	3	1	1	0	0
/Script/VisualGraphUtils	4	0	0	0	3
/Script/WaveTable	11	1	1	0	8
/Script/WaveTableEditor	4	1	1	0	1
/Script/WebBrowser	4	0	0	0	3
/Script/WebMMediaEditor	3	1	1	0	0
/Script/WidgetCarousel	3	0	0	0	2
/Script/WidgetRegistration	3	0	0	0	2
/Script/WindowsTargetPlatform	5	1	1	0	2
/Script/WmfMediaEditor	3	1	1	0	0
/Script/WmfMediaFactory	3	1	1	0	0
/Script/WorldMetricsCore	11	5	5	0	0
/Script/WorldMetricsTest	49	24	24	0	0
/Script/WorldPartitionEditor	15	7	7	0	0
/Script/WorldPartitionHLODUtilities	19	9	9	0	0
