# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
AnimationModifierLibrary	uplugin	Engine/Plugins/Animation/AnimationModifierLibrary/AnimationModifierLibrary.uplugin	21
AnimationModifiers	build.cs	Engine/Source/Editor/AnimationModifiers/AnimationModifiers.Build.cs	5
AnimationSettings	build.cs	Engine/Source/Editor/AnimationSettings/AnimationSettings.Build.cs	5
AnimationSharing	uplugin	Engine/Plugins/Developer/AnimationSharing/AnimationSharing.uplugin	19
AnimationSharingEd	uplugin	Engine/Plugins/Developer/AnimationSharing/AnimationSharing.uplugin	24
AnimationWarpingEditor	uplugin	Engine/Plugins/Animation/AnimationWarping/AnimationWarping.uplugin	22
AnimationWarpingRuntime	uplugin	Engine/Plugins/Animation/AnimationWarping/AnimationWarping.uplugin	17
AnimationWidgets	build.cs	Engine/Source/Developer/AnimationWidgets/AnimationWidgets.Build.cs	5
ApexDestruction	uplugin	Engine/Plugins/Runtime/ApexDestruction/ApexDestruction.uplugin	20
ApexDestructionEditor	uplugin	Engine/Plugins/Runtime/ApexDestruction/ApexDestruction.uplugin	25
AppFramework	build.cs	Engine/Source/Runtime/AppFramework/AppFramework.Build.cs	5
AppleARKit	uplugin	Engine/Plugins/Runtime/AR/AppleAR/AppleARKit/AppleARKit.uplugin	22
AppleARKitFaceSupport	uplugin	Engine/Plugins/Runtime/AR/AppleAR/AppleARKitFaceSupport/AppleARKitFaceSupport.uplugin	23
AppleARKitPoseTrackingLiveLink	uplugin	Engine/Plugins/Runtime/AR/AppleAR/AppleARKit/AppleARKit.uplugin	29
AppleImageUtils	uplugin	Engine/Plugins/Runtime/AppleImageUtils/AppleImageUtils.uplugin	21
